comp,compID_num,comp_name_simple,comp_name_full,specie.A,specie.B1,specie.B2,specie.X,element.A,element.B1,element.B2,element.X,r_ionic.A,r_ionic.B1,r_ionic.B2,r_ionic.X,oct_factor,oct_mismatch,gen_t_factor,geom_stable,broken_condition,tau_factor,block.B1,row.B1,inputcharge.B1,block.B2,row.B2,inputcharge.B2,used_lobbasis,used_lobbasis_func,block_pairing
1024_CsZnNdCl,1024,CsZnNdCl,Cs2ZnNdCl6,Cs+,Zn2+,Nd2+,Cl-,Cs,Zn,Nd,Cl,188.0,74.0,129.0,181.0,0.5607734806629834,0.1519337016574585,0.9214387968449734,False,OL,3.788227447461536,d,4,2,f,6.0,2,basisset0,"{'Zn': ' 3d 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1025_CsNaCeCl,1025,CsNaCeCl,Cs2NaCeCl6,Cs+,Na+,Ce3+,Cl-,Cs,Na,Ce,Cl,188.0,102.0,101.0,181.0,0.5607734806629834,0.0027624309392265,0.9236183997081848,True,,3.788227447461536,s,3,1,f,6.0,3,basisset0,"{'Na': ' 2p 3s', 'Ce': ' 4f 5d 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1026_CsCaTmCl,1026,CsCaTmCl,Cs2CaTmCl6,Cs+,Ca2+,Tm2+,Cl-,Cs,Ca,Tm,Cl,188.0,100.0,103.0,181.0,0.5607734806629834,0.0082872928176795,0.9236126131421372,True,,3.788227447461536,s,4,2,f,6.0,2,basisset0,"{'Ca': ' 3p 3s 4s', 'Tm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1027_CsNaAmCl,1027,CsNaAmCl,Cs2NaAmCl6,Cs+,Na+,Am3+,Cl-,Cs,Na,Am,Cl,188.0,102.0,97.5,181.0,0.5511049723756906,0.0124309392265193,0.9293613988140504,True,,3.788323656275561,s,3,1,f,7.0,3,basisset0,"{'Na': ' 2p 3s', 'Am': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1028_CsKCrCl,1028,CsKCrCl,Cs2KCrCl6,Cs+,K+,Cr3+,Cl-,Cs,K,Cr,Cl,188.0,138.0,61.5,181.0,0.5511049723756906,0.2113259668508287,0.9250933543768444,False,OL,3.788323656275561,s,4,1,d,4.0,3,basisset0,"{'K': ' 3p 3s 4s', 'Cr': ' 3d 3p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1029_CsKMnCl,1029,CsKMnCl,Cs2KMnCl6,Cs+,K+,Mn3+,Cl-,Cs,K,Mn,Cl,188.0,138.0,61.25,181.0,0.550414364640884,0.2120165745856353,0.9254737498637994,False,OL,3.7884522259039306,s,4,1,d,4.0,3,basisset0,"{'K': ' 3p 3s 4s', 'Mn': ' 3d 3p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1030_CsAgTlCl,1030,CsAgTlCl,Cs2AgTlCl6,Cs+,Ag+,Tl3+,Cl-,Cs,Ag,Tl,Cl,188.0,115.0,88.5,181.0,0.5621546961325967,0.0732044198895027,0.9222962886881874,True,,3.788474290858773,d,5,1,p,6.0,3,basisset0,"{'Ag': ' 4d 5s', 'Tl': ' 5d 6p 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1031_CsAuRhCl,1031,CsAuRhCl,Cs2AuRhCl6,Cs+,Au+,Rh3+,Cl-,Cs,Au,Rh,Cl,188.0,137.0,66.5,181.0,0.5621546961325967,0.1947513812154696,0.9192376478125016,False,OL,3.788474290858773,d,6,1,d,5.0,3,basisset0,"{'Au': ' 5d 6s', 'Rh': ' 4d 4p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1032_CsTlAlCl,1032,CsTlAlCl,Cs2TlAlCl6,Cs+,Tl+,Al3+,Cl-,Cs,Tl,Al,Cl,188.0,150.0,53.5,181.0,0.5621546961325967,0.2665745856353591,0.9161569929629456,False,OL,3.788474290858773,p,6,1,p,3.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Al': ' 3p 3s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",p-p
1033_CsPtPbCl,1033,CsPtPbCl,Cs2PtPbCl6,Cs+,Pt2+,Pb2+,Cl-,Cs,Pt,Pb,Cl,188.0,80.0,119.0,181.0,0.5497237569060773,0.1077348066298342,0.929082790045482,True,,3.788596973422536,d,6,2,p,6.0,2,basisset0,"{'Pt': ' 5d 6s', 'Pb': ' 5d 6p 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1034_CsHgInCl,1034,CsHgInCl,Cs2HgInCl6,Cs+,Hg+,In3+,Cl-,Cs,Hg,In,Cl,188.0,119.0,80.0,181.0,0.5497237569060773,0.1077348066298342,0.929082790045482,True,,3.788596973422536,d,6,1,p,5.0,3,basisset0,"{'Hg': ' 5d 6s', 'In': ' 4d 5p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1035_CsNaCmCl,1035,CsNaCmCl,Cs2NaCmCl6,Cs+,Na+,Cm3+,Cl-,Cs,Na,Cm,Cl,188.0,102.0,97.0,181.0,0.5497237569060773,0.0138121546961325,0.930186170377739,True,,3.788596973422536,s,3,1,f,7.0,3,basisset0,"{'Na': ' 2p 3s', 'Cm': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1036_CsAuGaCl,1036,CsAuGaCl,Cs2AuGaCl6,Cs+,Au+,Ga3+,Cl-,Cs,Au,Ga,Cl,188.0,137.0,62.0,181.0,0.5497237569060773,0.2071823204419889,0.9260759136991747,False,OL,3.788596973422536,d,6,1,p,4.0,3,basisset0,"{'Au': ' 5d 6s', 'Ga': ' 3d 4p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1037_CsNaPmCl,1037,CsNaPmCl,Cs2NaPmCl6,Cs+,Na+,Pm3+,Cl-,Cs,Na,Pm,Cl,188.0,102.0,97.0,181.0,0.5497237569060773,0.0138121546961325,0.930186170377739,True,,3.788596973422536,s,3,1,f,6.0,3,basisset0,"{'Na': ' 2p 3s', 'Pm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1038_CsCoNdCl,1038,CsCoNdCl,Cs2CoNdCl6,Cs+,Co2+,Nd2+,Cl-,Cs,Co,Nd,Cl,188.0,69.75,129.0,181.0,0.5490331491712708,0.1636740331491712,0.9280327133804191,False,OL,3.7887578912184416,d,4,2,f,6.0,2,basisset0,"{'Co': ' 3d 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1039_CsYbHgCl,1039,CsYbHgCl,Cs2YbHgCl6,Cs+,Yb2+,Hg2+,Cl-,Cs,Yb,Hg,Cl,188.0,102.0,102.0,181.0,0.56353591160221,0.0,0.9219872871301626,True,,3.7887865769548648,f,6,2,d,6.0,2,basisset0,"{'Yb': ' 4f 5p 5s 6s', 'Hg': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1040_CsNiBaCl,1040,CsNiBaCl,Cs2NiBaCl6,Cs+,Ni2+,Ba2+,Cl-,Cs,Ni,Ba,Cl,188.0,69.0,135.0,181.0,0.56353591160221,0.1823204419889502,0.9188690269639888,False,OL,3.7887865769548648,d,4,2,s,6.0,2,basisset0,"{'Ni': ' 3d 4s', 'Ba': ' 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1041_CsSrPdCl,1041,CsSrPdCl,Cs2SrPdCl6,Cs+,Sr2+,Pd2+,Cl-,Cs,Sr,Pd,Cl,188.0,118.0,86.0,181.0,0.56353591160221,0.0883977900552486,0.9212513989244168,True,,3.7887865769548648,s,5,2,d,5.0,2,basisset0,"{'Sr': ' 4p 4s 5s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1042_CsAuTiCl,1042,CsAuTiCl,Cs2AuTiCl6,Cs+,Au+,Ti3+,Cl-,Cs,Au,Ti,Cl,188.0,137.0,67.0,181.0,0.56353591160221,0.1933701657458563,0.9184818206442624,False,OL,3.7887865769548648,d,6,1,d,4.0,3,basisset0,"{'Au': ' 5d 6s', 'Ti': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1043_CsTlCuCl,1043,CsTlCuCl,Cs2TlCuCl6,Cs+,Tl+,Cu3+,Cl-,Cs,Tl,Cu,Cl,188.0,150.0,54.0,181.0,0.56353591160221,0.2651933701657458,0.9154270432471548,False,OL,3.7887865769548648,p,6,1,d,4.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Cu': ' 3d 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1044_CsTiSrCl,1044,CsTiSrCl,Cs2TiSrCl6,Cs+,Ti2+,Sr2+,Cl-,Cs,Ti,Sr,Cl,188.0,86.0,118.0,181.0,0.56353591160221,0.0883977900552486,0.9212513989244168,True,,3.7887865769548648,d,4,2,s,5.0,2,basisset0,"{'Ti': ' 3d 3p 3s 4s', 'Sr': ' 4p 4s 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1045_CsHgAuCl,1045,CsHgAuCl,Cs2HgAuCl6,Cs+,Hg+,Au3+,Cl-,Cs,Hg,Au,Cl,188.0,119.0,85.0,181.0,0.56353591160221,0.0939226519337016,0.9211566664893054,True,,3.7887865769548648,d,6,1,d,6.0,3,basisset0,"{'Hg': ' 5d 6s', 'Au': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1046_CsAgErCl,1046,CsAgErCl,Cs2AgErCl6,Cs+,Ag+,Er3+,Cl-,Cs,Ag,Er,Cl,188.0,115.0,89.0,181.0,0.56353591160221,0.0718232044198894,0.9215012882363324,True,,3.7887865769548648,d,5,1,f,6.0,3,basisset0,"{'Ag': ' 4d 5s', 'Er': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1047_CsMnNdCl,1047,CsMnNdCl,Cs2MnNdCl6,Cs+,Mn2+,Nd2+,Cl-,Cs,Mn,Nd,Cl,188.0,75.0,129.0,181.0,0.56353591160221,0.149171270718232,0.9198963534142396,True,,3.7887865769548648,d,4,2,f,6.0,2,basisset0,"{'Mn': ' 3d 3p 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1048_CsAgNpCl,1048,CsAgNpCl,Cs2AgNpCl6,Cs+,Ag2+,Np2+,Cl-,Cs,Ag,Np,Cl,188.0,94.0,110.0,181.0,0.56353591160221,0.0441988950276243,0.921803149764926,True,,3.7887865769548648,d,5,2,f,7.0,2,basisset0,"{'Ag': ' 4d 5s', 'Np': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1049_CsAuCrCl,1049,CsAuCrCl,Cs2AuCrCl6,Cs+,Au+,Cr3+,Cl-,Cs,Au,Cr,Cl,188.0,137.0,61.5,181.0,0.5483425414364641,0.2085635359116022,0.9268396959064912,False,OL,3.788934972022867,d,6,1,d,4.0,3,basisset0,"{'Au': ' 5d 6s', 'Cr': ' 3d 3p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1050_CsFeNdCl,1050,CsFeNdCl,Cs2FeNdCl6,Cs+,Fe2+,Nd2+,Cl-,Cs,Fe,Nd,Cl,188.0,69.5,129.0,181.0,0.5483425414364641,0.1643646408839779,0.9284225333727708,False,OL,3.788934972022867,d,4,2,f,6.0,2,basisset0,"{'Fe': ' 3d 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1051_CsCrSmCl,1051,CsCrSmCl,Cs2CrSmCl6,Cs+,Cr2+,Sm2+,Cl-,Cs,Cr,Sm,Cl,188.0,76.5,122.0,181.0,0.5483425414364641,0.1256906077348066,0.9295043912692608,True,,3.788934972022867,d,4,2,f,6.0,2,basisset0,"{'Cr': ' 3d 3p 4s', 'Sm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1052_CsAuMnCl,1052,CsAuMnCl,Cs2AuMnCl6,Cs+,Au+,Mn3+,Cl-,Cs,Au,Mn,Cl,188.0,137.0,61.25,181.0,0.5476519337016574,0.2092541436464088,0.927221884711418,False,OL,3.789128208910637,d,6,1,d,4.0,3,basisset0,"{'Au': ' 5d 6s', 'Mn': ' 3d 3p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1053_CsNaUCl,1053,CsNaUCl,Cs2NaUCl6,Cs+,Na+,U3+,Cl-,Cs,Na,U,Cl,188.0,102.0,102.5,181.0,0.5649171270718232,0.0013812154696132,0.9211733501955676,True,,3.7891644185647633,s,3,1,f,7.0,3,basisset0,"{'Na': ' 2p 3s', 'U': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1054_CsFeBaCl,1054,CsFeBaCl,Cs2FeBaCl6,Cs+,Fe2+,Ba2+,Cl-,Cs,Fe,Ba,Cl,188.0,69.5,135.0,181.0,0.5649171270718232,0.180939226519337,0.9181102003873112,False,OL,3.7891644185647633,d,4,2,s,6.0,2,basisset0,"{'Fe': ' 3d 4s', 'Ba': ' 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1055_CsKRhCl,1055,CsKRhCl,Cs2KRhCl6,Cs+,K+,Rh3+,Cl-,Cs,K,Rh,Cl,188.0,138.0,66.5,181.0,0.5649171270718232,0.1975138121546961,0.9175267560870984,False,OL,3.7891644185647633,s,4,1,d,5.0,3,basisset0,"{'K': ' 3p 3s 4s', 'Rh': ' 4d 4p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1056_CsNiNdCl,1056,CsNiNdCl,Cs2NiNdCl6,Cs+,Ni2+,Nd2+,Cl-,Cs,Ni,Nd,Cl,188.0,69.0,129.0,181.0,0.5469613259668509,0.1657458563535911,0.9292028207310468,False,OL,3.789337595299659,d,4,2,f,6.0,2,basisset0,"{'Ni': ' 3d 4s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1057_CsVPbCl,1057,CsVPbCl,Cs2VPbCl6,Cs+,V2+,Pb2+,Cl-,Cs,V,Pb,Cl,188.0,79.0,119.0,181.0,0.5469613259668509,0.1104972375690607,0.9306793874033122,True,,3.789337595299659,d,4,2,p,6.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Pb': ' 5d 6p 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1058_CsSrPtCl,1058,CsSrPtCl,Cs2SrPtCl6,Cs+,Sr2+,Pt2+,Cl-,Cs,Sr,Pt,Cl,188.0,118.0,80.0,181.0,0.5469613259668509,0.1049723756906077,0.9307948557593786,True,,3.789337595299659,s,5,2,d,6.0,2,basisset0,"{'Sr': ' 4p 4s 5s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1059_CsCdTmCl,1059,CsCdTmCl,Cs2CdTmCl6,Cs+,Cd2+,Tm2+,Cl-,Cs,Cd,Tm,Cl,188.0,95.0,103.0,181.0,0.5469613259668509,0.0220994475138121,0.931818181818182,True,,3.789337595299659,d,5,2,f,6.0,2,basisset0,"{'Cd': ' 4d 5s', 'Tm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1060_CsCoBaCl,1060,CsCoBaCl,Cs2CoBaCl6,Cs+,Co2+,Ba2+,Cl-,Cs,Co,Ba,Cl,188.0,69.75,135.0,181.0,0.5656077348066298,0.1802486187845303,0.9177310922709624,False,OL,3.789377959512248,d,4,2,s,6.0,2,basisset0,"{'Co': ' 3d 4s', 'Ba': ' 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1061_CsCuThCl,1061,CsCuThCl,Cs2CuThCl6,Cs+,Cu+,Th3+,Cl-,Cs,Cu,Th,Cl,188.0,77.0,120.9,181.0,0.5466850828729282,0.1212707182320442,0.9306030020618404,True,,3.7894258703064674,d,4,1,f,7.0,3,basisset0,"{'Cu': ' 3d 4s', 'Th': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
