,chemsys,nsites,structure_dict
1302_CsCoRaCl,Cl-Co-Cs-Ra,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.401085231672493, 5.401085231672493], [5.401085231672493, 0.0, 5.401085231672493], [5.401085231672493, 5.401085231672493, 0.0]], 'pbc': (True, True, True), 'a': 7.638287986164269, 'b': 7.638287986164269, 'c': 7.638287986164269, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 315.11791029435574}, 'properties': {}, 'sites': [{'species': [{'element': 'Co', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Co', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.401085231672493, 5.401085231672493, 5.401085231672493]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.7005426158362464, 2.7005426158362464, 2.7005426158362464]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.10162784750874, 8.10162784750874, 8.10162784750874]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7785584211097714, 0.2214415788902286, 0.2214415788902286], 'properties': {}, 'label': 'Cl', 'xyz': [2.392049682844506, 5.401085231672493, 5.401085231672493]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2214415788902286, 0.7785584211097714, 0.7785584211097714], 'properties': {}, 'label': 'Cl', 'xyz': [8.41012078050048, 5.401085231672493, 5.401085231672493]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2214415788902286, 0.7785584211097714, 0.2214415788902286], 'properties': {}, 'label': 'Cl', 'xyz': [5.401085231672493, 2.392049682844506, 5.401085231672493]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7785584211097714, 0.2214415788902286, 0.7785584211097714], 'properties': {}, 'label': 'Cl', 'xyz': [5.401085231672493, 8.41012078050048, 5.401085231672493]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2214415788902286, 0.2214415788902286, 0.7785584211097714], 'properties': {}, 'label': 'Cl', 'xyz': [5.401085231672493, 5.401085231672493, 2.392049682844506]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7785584211097714, 0.7785584211097714, 0.2214415788902286], 'properties': {}, 'label': 'Cl', 'xyz': [5.401085231672493, 5.401085231672493, 8.41012078050048]}]}"
1327_CsMgRaCl,Cl-Cs-Mg-Ra,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.499097628155323, 5.499097628155323], [5.499097628155323, 0.0, 5.499097628155323], [5.499097628155323, 5.499097628155323, 0.0]], 'pbc': (True, True, True), 'a': 7.776898446550977, 'b': 7.776898446550977, 'c': 7.776898446550977, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 332.58624637979483}, 'properties': {}, 'sites': [{'species': [{'element': 'Mg', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Mg', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.499097628155323, 5.499097628155323, 5.499097628155323]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.7495488140776616, 2.7495488140776616, 2.7495488140776616]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.248646442232985, 8.248646442232985, 8.248646442232985]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7740988431851292, 0.2259011568148708, 0.2259011568148708], 'properties': {}, 'label': 'Cl', 'xyz': [2.4845050312763997, 5.499097628155324, 5.499097628155324]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2259011568148708, 0.7740988431851292, 0.7740988431851292], 'properties': {}, 'label': 'Cl', 'xyz': [8.513690225034248, 5.499097628155324, 5.499097628155324]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2259011568148708, 0.7740988431851292, 0.2259011568148708], 'properties': {}, 'label': 'Cl', 'xyz': [5.499097628155324, 2.4845050312763997, 5.499097628155324]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7740988431851292, 0.2259011568148708, 0.7740988431851292], 'properties': {}, 'label': 'Cl', 'xyz': [5.499097628155324, 8.513690225034248, 5.499097628155324]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2259011568148708, 0.2259011568148708, 0.7740988431851292], 'properties': {}, 'label': 'Cl', 'xyz': [5.499097628155324, 5.499097628155324, 2.4845050312763997]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7740988431851292, 0.7740988431851292, 0.2259011568148708], 'properties': {}, 'label': 'Cl', 'xyz': [5.499097628155324, 5.499097628155324, 8.513690225034248]}]}"
1344_CsCaAmCl,Am-Ca-Cl-Cs,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.433135976089189, 5.433135976089189], [5.433135976089189, 0.0, 5.433135976089189], [5.433135976089189, 5.433135976089189, 0.0]], 'pbc': (True, True, True), 'a': 7.683614583602515, 'b': 7.683614583602515, 'c': 7.683614583602515, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 320.76111811302707}, 'properties': {}, 'sites': [{'species': [{'element': 'Ca', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ca', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.433135976089189, 5.433135976089189, 5.433135976089189]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.7165679880445945, 2.7165679880445945, 2.7165679880445945]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.149703964133783, 8.149703964133783, 8.149703964133783]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7536918374412735, 0.2463081625587265, 0.2463081625587265], 'properties': {}, 'label': 'Cl', 'xyz': [2.6764514784044824, 5.433135976089189, 5.433135976089189]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2463081625587265, 0.7536918374412735, 0.7536918374412735], 'properties': {}, 'label': 'Cl', 'xyz': [8.189820473773896, 5.433135976089189, 5.433135976089189]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2463081625587265, 0.7536918374412735, 0.2463081625587265], 'properties': {}, 'label': 'Cl', 'xyz': [5.433135976089189, 2.6764514784044824, 5.433135976089189]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7536918374412735, 0.2463081625587265, 0.7536918374412735], 'properties': {}, 'label': 'Cl', 'xyz': [5.433135976089189, 8.189820473773896, 5.433135976089189]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2463081625587265, 0.2463081625587265, 0.7536918374412735], 'properties': {}, 'label': 'Cl', 'xyz': [5.433135976089189, 5.433135976089189, 2.6764514784044824]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7536918374412735, 0.7536918374412735, 0.2463081625587265], 'properties': {}, 'label': 'Cl', 'xyz': [5.433135976089189, 5.433135976089189, 8.189820473773896]}]}"
1346_CsGeRaCl,Cl-Cs-Ge-Ra,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.636825512066754, 5.636825512066754], [5.636825512066754, 0.0, 5.636825512066754], [5.636825512066754, 5.636825512066754, 0.0]], 'pbc': (True, True, True), 'a': 7.971675087895471, 'b': 7.971675087895471, 'c': 7.971675087895471, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 358.2067538061747}, 'properties': {}, 'sites': [{'species': [{'element': 'Ge', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Ge', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.636825512066754, 5.636825512066754, 5.636825512066754]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.818412756033377, 2.818412756033377, 2.818412756033377]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.455238268100132, 8.455238268100132, 8.455238268100132]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7673984076790461, 0.2326015923209539, 0.2326015923209539], 'properties': {}, 'label': 'Cl', 'xyz': [2.622269179484207, 5.636825512066754, 5.636825512066754]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2326015923209539, 0.7673984076790461, 0.7673984076790461], 'properties': {}, 'label': 'Cl', 'xyz': [8.651381844649302, 5.636825512066754, 5.636825512066754]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2326015923209539, 0.7673984076790461, 0.2326015923209539], 'properties': {}, 'label': 'Cl', 'xyz': [5.636825512066754, 2.622269179484207, 5.636825512066754]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7673984076790461, 0.2326015923209539, 0.7673984076790461], 'properties': {}, 'label': 'Cl', 'xyz': [5.636825512066754, 8.651381844649302, 5.636825512066754]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2326015923209539, 0.2326015923209539, 0.7673984076790461], 'properties': {}, 'label': 'Cl', 'xyz': [5.636825512066754, 5.636825512066754, 2.622269179484207]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7673984076790461, 0.7673984076790461, 0.2326015923209539], 'properties': {}, 'label': 'Cl', 'xyz': [5.636825512066754, 5.636825512066754, 8.651381844649302]}]}"
1348_CsCuRaCl,Cl-Cs-Cu-Ra,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.406857230149237, 5.406857230149237], [5.406857230149236, 0.0, 5.406857230149236], [5.406857230149236, 5.406857230149237, 0.0]], 'pbc': (True, True, True), 'a': 7.646450824692078, 'b': 7.646450824692076, 'c': 7.646450824692077, 'alpha': 60.00000000000001, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 316.1292651317988}, 'properties': {}, 'sites': [{'species': [{'element': 'Cu', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Cu', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.406857230149236, 5.406857230149237, 5.406857230149237]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.703428615074618, 2.7034286150746185, 2.7034286150746185]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.110285845223855, 8.110285845223856, 8.110285845223856]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7775778960794071, 0.2224221039205929, 0.2224221039205929], 'properties': {}, 'label': 'Cl', 'xyz': [2.405209121456125, 5.406857230149237, 5.406857230149236]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2224221039205929, 0.7775778960794071, 0.7775778960794071], 'properties': {}, 'label': 'Cl', 'xyz': [8.408505338842348, 5.406857230149237, 5.406857230149237]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2224221039205929, 0.7775778960794071, 0.2224221039205929], 'properties': {}, 'label': 'Cl', 'xyz': [5.406857230149236, 2.4052091214561253, 5.406857230149237]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7775778960794071, 0.2224221039205929, 0.7775778960794071], 'properties': {}, 'label': 'Cl', 'xyz': [5.406857230149236, 8.408505338842348, 5.406857230149236]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2224221039205929, 0.2224221039205929, 0.7775778960794071], 'properties': {}, 'label': 'Cl', 'xyz': [5.406857230149236, 5.406857230149237, 2.4052091214561253]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7775778960794071, 0.7775778960794071, 0.2224221039205929], 'properties': {}, 'label': 'Cl', 'xyz': [5.406857230149236, 5.406857230149237, 8.408505338842348]}]}"
1365_CsZnRaCl,Cl-Cs-Ra-Zn,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.4544986607762445, 5.4544986607762445], [5.4544986607762445, 0.0, 5.4544986607762445], [5.4544986607762445, 5.4544986607762445, 0.0]], 'pbc': (True, True, True), 'a': 7.713825982015649, 'b': 7.713825982015649, 'c': 7.713825982015649, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 324.5596407932508}, 'properties': {}, 'sites': [{'species': [{'element': 'Zn', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Zn', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.4544986607762445, 5.4544986607762445, 5.4544986607762445]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.7272493303881222, 2.7272493303881222, 2.7272493303881222]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.181747991164366, 8.181747991164366, 8.181747991164366]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7760490684028696, 0.2239509315971304, 0.2239509315971304], 'properties': {}, 'label': 'Cl', 'xyz': [2.44308011295228, 5.4544986607762445, 5.4544986607762445]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2239509315971304, 0.7760490684028696, 0.7760490684028696], 'properties': {}, 'label': 'Cl', 'xyz': [8.465917208600208, 5.4544986607762445, 5.4544986607762445]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2239509315971304, 0.7760490684028696, 0.2239509315971304], 'properties': {}, 'label': 'Cl', 'xyz': [5.4544986607762445, 2.44308011295228, 5.4544986607762445]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7760490684028696, 0.2239509315971304, 0.7760490684028696], 'properties': {}, 'label': 'Cl', 'xyz': [5.4544986607762445, 8.465917208600208, 5.4544986607762445]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2239509315971304, 0.2239509315971304, 0.7760490684028696], 'properties': {}, 'label': 'Cl', 'xyz': [5.4544986607762445, 5.4544986607762445, 2.44308011295228]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7760490684028696, 0.7760490684028696, 0.2239509315971304], 'properties': {}, 'label': 'Cl', 'xyz': [5.4544986607762445, 5.4544986607762445, 8.465917208600208]}]}"
1387_CsYbAmCl,Am-Cl-Cs-Yb,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.333206514880459, 5.333206514880459], [5.333206514880459, 0.0, 5.333206514880459], [5.333206514880459, 5.333206514880459, 0.0]], 'pbc': (True, True, True), 'a': 7.542292984280492, 'b': 7.542292984280492, 'c': 7.542292984280492, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 303.3857642394329}, 'properties': {}, 'sites': [{'species': [{'element': 'Yb', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Yb', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Am', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Am', 'xyz': [5.333206514880459, 5.333206514880459, 5.333206514880459]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.6666032574402294, 2.6666032574402294, 2.6666032574402294]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [7.999809772320688, 7.999809772320688, 7.999809772320688]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7584075780259951, 0.2415924219740049, 0.2415924219740049], 'properties': {}, 'label': 'Cl', 'xyz': [2.576924557635024, 5.33320651488046, 5.33320651488046]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2415924219740049, 0.7584075780259951, 0.7584075780259951], 'properties': {}, 'label': 'Cl', 'xyz': [8.089488472125895, 5.33320651488046, 5.33320651488046]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2415924219740049, 0.7584075780259951, 0.2415924219740049], 'properties': {}, 'label': 'Cl', 'xyz': [5.33320651488046, 2.576924557635024, 5.33320651488046]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7584075780259951, 0.2415924219740049, 0.7584075780259951], 'properties': {}, 'label': 'Cl', 'xyz': [5.33320651488046, 8.089488472125895, 5.33320651488046]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2415924219740049, 0.2415924219740049, 0.7584075780259951], 'properties': {}, 'label': 'Cl', 'xyz': [5.33320651488046, 5.33320651488046, 2.576924557635024]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7584075780259951, 0.7584075780259951, 0.2415924219740049], 'properties': {}, 'label': 'Cl', 'xyz': [5.33320651488046, 5.33320651488046, 8.089488472125895]}]}"
1388_CsMnRaCl,Cl-Cs-Mn-Ra,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.504252055584056, 5.504252055584056], [5.504252055584056, 0.0, 5.504252055584056], [5.504252055584056, 5.504252055584056, 0.0]], 'pbc': (True, True, True), 'a': 7.784187907726959, 'b': 7.784187907726959, 'c': 7.784187907726959, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 333.522344881491}, 'properties': {}, 'sites': [{'species': [{'element': 'Mn', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Mn', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.504252055584056, 5.504252055584056, 5.504252055584056]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.752126027792028, 2.752126027792028, 2.752126027792028]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.256378083376084, 8.256378083376084, 8.256378083376084]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7739637205768446, 0.2260362794231554, 0.2260362794231554], 'properties': {}, 'label': 'Cl', 'xyz': [2.48832131130295, 5.504252055584056, 5.504252055584056]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2260362794231554, 0.7739637205768446, 0.7739637205768446], 'properties': {}, 'label': 'Cl', 'xyz': [8.520182799865161, 5.504252055584056, 5.504252055584056]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2260362794231554, 0.7739637205768446, 0.2260362794231554], 'properties': {}, 'label': 'Cl', 'xyz': [5.504252055584056, 2.48832131130295, 5.504252055584056]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7739637205768446, 0.2260362794231554, 0.7739637205768446], 'properties': {}, 'label': 'Cl', 'xyz': [5.504252055584056, 8.520182799865161, 5.504252055584056]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2260362794231554, 0.2260362794231554, 0.7739637205768446], 'properties': {}, 'label': 'Cl', 'xyz': [5.504252055584056, 5.504252055584056, 2.48832131130295]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7739637205768446, 0.7739637205768446, 0.2260362794231554], 'properties': {}, 'label': 'Cl', 'xyz': [5.504252055584056, 5.504252055584056, 8.520182799865161]}]}"
1404_CsFrPCl,Cl-Cs-Fr-P,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.615190320541908, 5.615190320541908], [5.615190320541908, 0.0, 5.615190320541908], [5.615190320541908, 5.615190320541908, 0.0]], 'pbc': (True, True, True), 'a': 7.941078306616493, 'b': 7.941078306616493, 'c': 7.941078306616493, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 354.0979707835342}, 'properties': {}, 'sites': [{'species': [{'element': 'Fr', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Fr', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'P', 'xyz': [5.615190320541908, 5.615190320541908, 5.615190320541908]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.807595160270954, 2.807595160270954, 2.807595160270954]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.422785480812863, 8.422785480812863, 8.422785480812863]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7133976635464165, 0.2866023364535835, 0.2866023364535835], 'properties': {}, 'label': 'Cl', 'xyz': [3.218653330997715, 5.615190320541908, 5.615190320541908]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2866023364535835, 0.7133976635464165, 0.7133976635464165], 'properties': {}, 'label': 'Cl', 'xyz': [8.011727310086101, 5.615190320541908, 5.615190320541908]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2866023364535835, 0.7133976635464165, 0.2866023364535835], 'properties': {}, 'label': 'Cl', 'xyz': [5.615190320541908, 3.218653330997715, 5.615190320541908]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7133976635464165, 0.2866023364535835, 0.7133976635464165], 'properties': {}, 'label': 'Cl', 'xyz': [5.615190320541908, 8.011727310086101, 5.615190320541908]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2866023364535835, 0.2866023364535835, 0.7133976635464165], 'properties': {}, 'label': 'Cl', 'xyz': [5.615190320541908, 5.615190320541908, 3.218653330997715]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7133976635464165, 0.7133976635464165, 0.2866023364535835], 'properties': {}, 'label': 'Cl', 'xyz': [5.615190320541908, 5.615190320541908, 8.011727310086101]}]}"
1418_CsCrRaCl,Cl-Cr-Cs-Ra,10,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': 0.0, 'lattice': {'matrix': [[0.0, 5.467135748916507, 5.467135748916507], [5.467135748916507, 0.0, 5.467135748916507], [5.467135748916507, 5.467135748916507, 0.0]], 'pbc': (True, True, True), 'a': 7.731697523452513, 'b': 7.731697523452513, 'c': 7.731697523452513, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 326.820709384662}, 'properties': {}, 'sites': [{'species': [{'element': 'Cr', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'properties': {}, 'label': 'Cr', 'xyz': [0.0, 0.0, 0.0]}, {'species': [{'element': 'Ra', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'properties': {}, 'label': 'Ra', 'xyz': [5.467135748916507, 5.467135748916507, 5.467135748916507]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'properties': {}, 'label': 'Cs', 'xyz': [2.7335678744582537, 2.7335678744582537, 2.7335678744582537]}, {'species': [{'element': 'Cs', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'properties': {}, 'label': 'Cs', 'xyz': [8.20070362337476, 8.20070362337476, 8.20070362337476]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7755724424873023, 0.2244275575126977, 0.2244275575126977], 'properties': {}, 'label': 'Cl', 'xyz': [2.45395184543937, 5.467135748916507, 5.467135748916507]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2244275575126977, 0.7755724424873023, 0.7755724424873023], 'properties': {}, 'label': 'Cl', 'xyz': [8.480319652393645, 5.467135748916507, 5.467135748916507]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2244275575126977, 0.7755724424873023, 0.2244275575126977], 'properties': {}, 'label': 'Cl', 'xyz': [5.467135748916507, 2.45395184543937, 5.467135748916507]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7755724424873023, 0.2244275575126977, 0.7755724424873023], 'properties': {}, 'label': 'Cl', 'xyz': [5.467135748916507, 8.480319652393645, 5.467135748916507]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.2244275575126977, 0.2244275575126977, 0.7755724424873023], 'properties': {}, 'label': 'Cl', 'xyz': [5.467135748916507, 5.467135748916507, 2.45395184543937]}, {'species': [{'element': 'Cl', 'occu': 1}], 'abc': [0.7755724424873023, 0.7755724424873023, 0.2244275575126977], 'properties': {}, 'label': 'Cl', 'xyz': [5.467135748916507, 5.467135748916507, 8.480319652393645]}]}"
